Date,open,high,low,close,volume,trade_date,sqz_on,sqz_off,sqz_val,tr,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,weekly_bull,near_ema50,momentum_up,sqz_fired,entry_fired,entry_pullback,entry_strong,entry_fired_next,entry_pullback_next,entry_strong_next
2025-07-31,1147.795166015625,1152.742558972589,1142.847773058661,1147.795166015625,33230751,2025-07-31,False,True,40.17810861140906,9.89478591392799,19.082820280269193,1133.5002870574776,1110.245395599552,1063.5236743606986,1132.9529923608293,1147.795171300054,True,False,True,False,False,False,False,False,False,False
2025-08-04,1118.1107129336453,1123.05810546875,1113.1633203985407,1123.05810546875,23939021,2025-08-04,False,True,35.63676485031099,34.63184561708431,20.4963678380682,1131.1798022599826,1111.4101874058429,1065.8583579335634,1142.847773058661,1152.742558972589,True,False,False,False,False,False,False,False,False,False
2025-08-05,1132.9529976222825,1137.900390625,1128.0056046195652,1137.900390625,17012960,2025-08-05,False,True,32.61673500883327,14.84228515625,19.78960492280919,1132.6732663410976,1113.8183876984936,1068.6835356861689,1113.1633203985407,1123.05810546875,True,False,False,False,False,False,False,False,False,False
2025-08-06,1118.1108452690971,1123.058238389757,1113.1634521484375,1113.1634521484375,22023406,2025-08-06,False,True,24.597370821405267,24.7369384765625,20.14299847749669,1128.3377520760619,1113.7588481030339,1070.4278461356696,1128.0056046195652,1137.900390625,True,False,False,False,False,False,False,False,False,False
2025-08-07,1147.7951453257415,1167.584716796875,1142.847752457958,1167.584716796875,61370031,2025-08-07,False,True,25.834208291825664,54.4212646484375,22.61669093623662,1137.0592997917981,1118.652108893383,1074.2379194949326,1113.1634521484375,1123.058238389757,True,False,True,False,False,False,False,False,False,False
2025-08-08,1167.5847219913564,1172.5321148811502,1157.6899362117686,1162.6373291015625,25958258,2025-08-08,False,True,26.19466258189782,14.84217866938161,21.556528446434122,1142.7433063050792,1122.6507652759447,1077.704563008918,1142.847752457958,1167.584716796875,True,False,True,False,False,False,False,False,False,False
2025-08-11,1157.6899310613082,1182.426895400225,1152.7425381935248,1167.584716796875,35579367,2025-08-11,False,True,26.47383919321305,29.68435720670027,22.26329919666523,1148.2636197477004,1126.7356699596655,1081.2292749221713,1157.6899362117686,1172.5321148811502,True,False,True,False,False,False,False,False,False,False
2025-08-12,1167.584716796875,1177.4795025324418,1157.6899310613082,1167.584716796875,28917167,2025-08-12,False,True,25.433124991654747,19.789571471133513,21.556528920380646,1152.557196869739,1130.449219672139,1084.6157628388264,1152.7425381935248,1182.426895400225,True,False,False,False,False,False,False,False,False,False
2025-08-13,1172.5322097778321,1187.3743896484375,1172.5322097778321,1187.3743896484375,37809952,2025-08-13,False,True,27.272517942613455,19.7896728515625,21.90991375576011,1160.2943508205608,1135.6242351245298,1088.6455129097915,1157.6899310613082,1177.4795025324418,True,False,True,False,False,False,False,False,False,False
2025-08-14,1172.5321148811502,1177.479507770944,1162.6373291015625,1162.6373291015625,32991791,2025-08-14,False,True,25.662841851875946,24.737060546875,22.970076219694924,1160.8150126607834,1138.0799709406235,1091.547152760449,1172.5322097778321,1187.3743896484375,True,False,False,False,False,False,False,False,False,False
