Date,open,high,low,close,volume,dividends,stock splits,capital gains,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2025-05-05,42.74131621695986,42.74131621695986,41.59077382897624,42.09260559082031,127935288,0.0,0.0,0.0,2025-05-05,False,True,2.2724726396770425,0.7807243019353466,41.164959724458,41.01849951232371,42.60953796907809,41.982447049803284,42.47203826904297,40.899918048354486,40.91108890447405,40.45074084244349,40.75499396801716,0.8297870281619946,0.8073900710374884,0.022396957124506178,0.20571282464122123,False,False,41.59077382897624
2025-05-06,41.603010267111856,42.12932303302774,41.456135152539574,41.86004638671875,116316784,0.0,0.0,0.0,2025-05-06,False,True,2.5882148721316796,0.7903413225156,41.31942342718261,41.09500377363234,42.5801461423189,41.59077382897624,42.74131621695986,41.164959724458,41.01849951232371,40.899918048354486,40.91108890447405,0.8241146572660766,0.7942475644880762,0.02986709277800037,0.28804712758382645,False,False,41.456135152539574
2025-05-07,42.05588441856772,42.22724058984645,41.603011068852716,41.700931549072266,53137384,0.0,0.0,0.0,2025-05-07,False,True,2.704514322862124,0.765861626662036,41.404203009824755,41.15008811685416,42.545667138662175,41.456135152539574,42.12932303302774,41.31942342718261,41.09500377363234,41.164959724458,41.01849951232371,0.9109584235256546,0.775114119090329,0.13584430443532558,1.0204515471971578,False,False,41.603011068852716
2025-05-08,42.1170859091316,42.39859936960297,42.00692863048127,42.25172424316406,39311228,0.0,0.0,0.0,2025-05-08,False,True,2.5632281816895195,0.7649870189748746,41.592541061677935,41.2502368556096,42.5341399662897,41.603011068852716,42.22724058984645,41.404203009824755,41.15008811685416,41.31942342718261,41.09500377363234,0.9840000337148991,0.6971424536060161,0.28685758010888296,1.9610750690512833,False,False,42.00692863048127
2025-05-09,42.27619867671537,42.82698876764466,42.190522459296986,42.77803039550781,51888384,0.0,0.0,0.0,2025-05-09,False,True,2.7571847406149246,0.7885920133944566,41.85598313586235,41.38912717741853,42.54370429684728,42.00692863048127,42.39859936960297,41.592541061677935,41.2502368556096,41.404203009824755,41.15008811685416,0.9767180398747801,0.6796010646050692,0.2971169752697109,1.7612193355019583,False,False,42.190522459296986
2025-05-12,42.96162855970413,43.32882196619733,42.96162855970413,43.2553825378418,53767756,0.0,0.0,0.0,2025-05-12,False,True,3.032706511103895,0.7859694482179614,42.16696078074667,41.55878675563883,42.57161324747452,42.190522459296986,42.82698876764466,41.85598313586235,41.38912717741853,41.592541061677935,41.2502368556096,1.0800883130738248,0.6206898503573908,0.45939846271643403,2.350914212466035,False,False,42.96162855970413
2025-05-13,44.2712875393225,44.33248644179031,43.78169631958008,43.78169631958008,79922716,0.0,0.0,0.0,2025-05-13,False,True,3.2792816712186355,0.8165688586283463,42.52579090048743,41.76086944326985,42.61906748559631,42.96162855970413,43.32882196619733,42.16696078074667,41.55878675563883,41.85598313586235,41.38912717741853,1.1466802415476627,0.5342615450210884,0.6124186965265743,2.535404423397236,False,False,43.78169631958008
2025-05-14,44.51608086180253,44.77311325073242,44.393683063156146,44.77311325073242,90203212,0.0,0.0,0.0,2025-05-14,False,True,3.660625064848987,0.7623636660980974,43.02519586720854,42.03470978940281,42.703539868542826,43.78169631958008,44.33248644179031,42.52579090048743,41.76086944326985,42.16696078074667,41.55878675563883,1.1571094252654126,0.5229361069982529,0.6341733182671597,2.1708226941358713,False,False,44.393683063156146
2025-05-15,44.773114348522526,44.773114348522526,44.55279979967091,44.67519760131836,45677800,0.0,0.0,0.0,2025-05-15,False,True,3.8769286693285383,0.7300155671655624,43.39186291923294,42.27475413594059,42.78085977963206,44.393683063156146,44.77311325073242,43.02519586720854,42.03470978940281,42.52579090048743,41.76086944326985,1.155687579324824,0.5245513252503922,0.6311362540744319,1.8538342003315786,False,False,44.55279979967091
2025-05-16,44.61399927295622,44.84655435201349,44.479360942359534,44.7975959777832,37815732,0.0,0.0,0.0,2025-05-16,False,True,3.9884113746748073,0.667942460946886,43.70424804335522,42.50410339428991,42.8599474736772,44.55279979967091,44.773114348522526,43.39186291923294,42.27475413594059,43.02519586720854,42.03470978940281,1.1465959257519587,0.5667544488227619,0.5798414769291967,1.4704892929173667,False,False,44.479360942359534
2025-05-19,44.71191613510243,44.71191613510243,44.14888922709574,44.17336654663086,37940744,0.0,0.0,0.0,2025-05-19,False,True,3.9102865939608167,0.6836792033291097,43.8084965996387,42.65585458995727,42.91145410398911,44.479360942359534,44.84655435201349,43.70424804335522,42.50410339428991,43.39186291923294,42.27475413594059,1.0933496028252596,0.6227626684253688,0.47058693439989085,0.9427721944619295,False,False,44.14888922709574
